Coords,Mags F555,Mags F336,Aperture Radius
"(469, 466)",21.315351478099167,19.657881323490578,8
"(447, 467)",22.436181750392443,20.629658418469774,8
"(623, 467)",22.10017699881007,19.890052685214606,8
"(417, 468)",22.28370630458152,20.185696509944435,8
"(715, 468)",22.905542745798535,20.16066674823933,8
"(736, 468)",22.713315689530965,20.668958085742027,8
"(419, 469)",22.661490210550525,20.49953140138644,8
"(282, 470)",17.734428665266513,17.508923315342948,8
"(761, 470)",22.762427226375124,20.50116698965568,8
"(284, 471)",17.714082673698996,17.80121932188336,8
"(329, 471)",22.604061795213717,20.579116775851254,8
"(282, 472)",17.728765378628637,17.84269719221296,8
"(144, 473)",22.606070040730657,20.57590236883666,8
"(548, 473)",24.349377616694795,23.23757216739473,8
"(447, 474)",22.407846888770983,20.443604157606806,8
"(449, 474)",22.333282854221146,20.24960507024842,8
"(451, 474)",22.598349425336146,20.515503689921964,8
"(650, 474)",18.062748109196733,17.755182552283415,8
"(142, 475)",22.004219818425796,19.789295051656552,8
"(208, 475)",21.182477399731283,19.322957904620814,8
"(548, 475)",25.01049260495612,23.23757216739473,8
"(550, 475)",24.896157989138622,21.739449257701565,8
"(552, 475)",24.221011853919215,21.94031630642459,8
"(652, 475)",18.042598815913315,17.734542444953817,8
"(144, 476)",22.117857428212893,19.86617125213646,8
"(341, 476)",19.59141230110003,18.022803856717985,8
"(343, 476)",19.523985146586,17.998957992166787,8
"(593, 476)",22.40034252027911,20.819114310885524,8
"(595, 476)",22.368999717967014,20.537114707432806,8
"(597, 476)",22.359090186730775,20.47247402794794,8
"(650, 476)",18.04883512333563,17.729531085744163,8
"(736, 476)",22.723816575112288,20.614081378946373,8
"(140, 477)",22.109639021892306,19.793439544271585,8
"(142, 477)",22.031013841487166,19.81760728415042,8
"(492, 477)",22.180408709022736,20.10514825622348,8
"(551, 477)",25.023653334315547,21.94031630642459,8
"(144, 478)",22.33788716078108,20.604360908326846,8
"(341, 478)",19.537200422507567,18.004111066134293,8
"(413, 478)",20.6235984657022,19.231065636079478,8
"(479, 478)",21.920192921864015,19.880154438116435,8
"(592, 478)",22.37272472852638,20.522365039900812,8
"(594, 478)",22.366534158451778,20.522365039900812,8
"(596, 478)",22.388651303736957,20.700251774767928,8
"(611, 478)",22.684328937627704,20.904119237008594,8
"(339, 479)",19.58994869593655,18.058278487443324,8
"(598, 479)",22.63828248088594,20.829504725944638,8
"(607, 479)",22.221350519828817,20.162806142382387,8
"(143, 480)",22.75624623057118,21.613687127151792,8
"(170, 480)",22.67235152350262,20.56608820824485,8
"(210, 480)",24.46551120855454,21.25568456135712,8
"(480, 480)",21.9972771156585,19.729861953317993,8
"(594, 480)",22.671174638014605,20.93664439397979,8
"(596, 480)",22.72986325526478,21.600436194041784,8
"(716, 480)",21.95355383119518,20.489906823384118,8
"(172, 481)",22.730468200675595,20.56608820824485,8
"(567, 482)",24.57216452565418,22.16130731123871,8
"(519, 483)",22.822453029460668,19.851485626155274,8
"(326, 485)",23.63160444485907,20.95412594533483,8
"(581, 487)",21.004774996700917,19.416283073917775,8
"(523, 490)",21.24982857542541,18.918916158709926,8
"(525, 490)",21.091593334029923,18.87006688007707,8
"(590, 490)",21.045801812705555,19.45648428377818,8
"(477, 491)",22.18823491856528,19.950206610408756,8
"(580, 491)",20.84509647878476,19.1341324304571,8
"(582, 492)",20.897508739940832,19.148596331954366,8
"(527, 493)",21.68347038002033,19.353097091253794,8
"(546, 493)",19.929716704191698,18.573489743387753,8
"(580, 493)",20.902108483930697,19.15135551977483,8
"(611, 493)",21.54762523396296,19.73634173043289,8
"(613, 493)",21.341616333380493,19.70042485866709,8
"(268, 494)",22.187747335415587,20.763231138149784,8
"(521, 494)",22.224365466256266,19.776808131332075,8
"(525, 494)",21.288178624335785,19.353097091253794,8
"(548, 494)",19.922555106057658,18.621075133931868,8
"(583, 494)",21.13905899634112,19.148596331954366,8
"(459, 495)",23.502954131487705,20.72693763499352,8
"(611, 495)",21.25247288689628,19.78119214358619,8
"(613, 495)",21.184782499958423,19.44803302114159,8
"(454, 496)",23.883006166719532,21.025076757098972,8
"(524, 496)",22.137925861153754,19.624987346808588,8
"(526, 497)",22.329394078236888,20.156424346203274,8
"(663, 497)",19.17725169377386,17.32639962130689,8
"(665, 498)",19.605969702925186,17.379924665411856,8
"(159, 499)",22.06819271007175,19.674846891272274,8
"(509, 499)",23.164197918746886,21.039202196932607,8
"(335, 500)",22.428511822459647,20.05912214502306,8
"(158, 501)",22.227202387771875,19.873882186186385,8
"(509, 501)",22.76988479930138,20.45153598245144,8
"(565, 501)",23.386557867580798,21.049828525410973,8
"(567, 501)",23.631400348279215,21.17264105864144,8
"(160, 502)",21.894868239547442,19.622842027563387,8
"(335, 502)",22.15314149968456,20.000588584309597,8
"(339, 502)",22.004370940323057,19.790635861777197,8
"(158, 503)",22.09469902665949,19.69728253212952,8
