Coord,amplitude,xcentroid,ycentroid,sigx,sigy,ellipticity,SNR,Magnitudes,Reason
"(16, 737)",0.005632903843708499,8.35893994216775,10.196754256877133,2.9999999999999996,2.9999999999999996,0.0,115.2679718378654,20.32890192583323,Bad sizing
"(28, 737)",0.0059013544584704284,10.03318555686009,3.91048365215747,1.0338751706226101,2.6532007418213364,0.6103290812767946,48.32355503446581,21.44292661434833,"Not elliptical,Bad sizing"
"(409, 737)",0.001367479797546754,8.272912583372266,8.26467735653193,0.2376253944730182,0.24326396274533776,0.02317880630030822,112.95163286045549,20.54788544430813,Bad sizing
"(476, 737)",0.009247047768942508,6.8032932902217365,4.604133070699037,0.7984365746896067,2.745506453226034,0.7091842294701493,32.499450354767895,22.07789740238144,"Not elliptical,Bad sizing"
"(37, 739)",0.0030049651551926253,12.511633514015516,8.239225087825924,2.9999999999999996,2.9999999999999996,0.0,114.11137905850767,21.002867767025847,Bad sizing
"(413, 739)",0.0032959986809565013,8.785125202492019,8.77326952030241,0.22684374099684385,0.21824546578958995,0.037903956130636796,93.1886539930984,20.953586167482165,Bad sizing
"(22, 740)",0.023929121967100668,7.021874354130895,8.502564428082346,1.0152774638640807,0.3635115958888089,0.6419583721426189,126.56974259236179,20.386711080912704,"Not elliptical,Bad sizing"
"(466, 740)",0.0016609967850926863,8.500004890118019,8.500000404683009,0.2615864741420853,0.2612890457696341,0.0011370173990329357,55.41326581905875,21.307178931181788,Bad sizing
"(9, 741)",0.009905793730801136,8.272538237080672,7.465127668365867,0.46415540427375124,2.999999999876557,0.8452815319023833,5.147156061555433,23.24105244450393,"Not elliptical,Bad sizing"
"(33, 741)",0.006581186161952425,12.4544817731496,1.3420637122388521,2.9999999999999996,0.8591593365901427,0.7136135544699524,3.9406930116877383,24.066535611652988,"Not elliptical,Bad sizing"
"(208, 741)",0.0011622679779466026,8.500064547085795,8.500029289337325,0.2637221417320791,0.2610980964682003,0.009950037742923357,21.22850055859414,22.831753096640234,Bad sizing
"(474, 742)",0.0016355682270405157,8.49999998322584,8.500000012298113,0.26135237272201134,0.2613549165164498,9.733103445652702e-06,5.379650800702234,23.63079657947302,Bad sizing
"(8, 743)",0.001631730258645638,8.499891888700082,8.500074106541684,0.24969068120097787,0.2466804427412161,0.012055870268297353,33.04995868573959,21.44607840148418,Bad sizing
"(20, 743)",0.001623838998168788,8.500373318651864,8.500218364277975,0.2681967988618206,0.2674524284652445,0.0027754633900742842,48.39431007790851,21.232533986383714,Bad sizing
"(33, 743)",0.002886963421778739,9.110973718915142,11.897410597376355,2.9999999999999996,2.9999999999999996,0.0,42.76211863303638,21.755158831763765,Bad sizing
"(207, 743)",0.0012947162674855294,8.495093125474595,8.495155764846356,0.2677028319178557,0.27017021143056547,0.009132685278827934,8.30350570035892,23.706303516973,Bad sizing
"(576, 743)",0.0011128908935586906,8.336699754909013,8.337205279526973,0.21152115574222202,0.2112577710889962,0.0012451929562392605,165.75338845566532,20.553355075252178,Bad sizing
